iter	Passed	Remaining
956	21321	958
957	21338	935
958	21357	913
959	21374	890
960	21392	868
961	21413	845
962	21431	823
963	21447	800
964	21464	778
965	21482	756
966	21498	733
967	21517	711
968	21532	688
969	21550	666
970	21566	644
971	21583	621
972	21599	599
973	21617	577
974	21634	554
975	21650	532
976	21666	510
977	21684	487
978	21705	465
979	21726	443
980	21744	421
981	21762	398
982	21784	376
983	21811	354
984	21833	332
985	21854	310
986	21881	288
987	21901	266
988	21927	243
989	21948	221
990	21965	199
991	21982	177
992	22000	155
993	22019	132
994	22036	110
995	22056	88
996	22075	66
997	22090	44
998	22109	22
999	22126	0
